fdc_id,food_name,carbs_g,protein_g,fat_g,calories
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",44.29,11.8,11.6,329.0
167601,"Van's, Gluten Free, Totally Original Pancakes",40.32,3.31,4.55,215.0
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",46.24,15.34,1.39,259.0
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",5.62,1.86,0.17,31.0
167604,"Potatoes, hash brown, refrigerated, unprepared",19.16,1.75,0.08,84.0
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",33.99,3.24,10.3,242.0
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",35.58,2.16,8.92,182.0
167607,"Moose, meat, raw (Alaska Native)",0.0,22.3,1.5,103.0
167608,"Mashu roots, raw (Alaska Native)",22.6,5.8,2.4,135.0
167609,"Moose, liver, braised (Alaska Native)",3.43,24.38,4.89,155.0
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",0.0,26.7,0.4,110.0
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",0.0,0.56,99.6,899.0
167612,"Oopah (tunicate), whole animal (Alaska Native)",0.0,11.7,2.2,67.0
167613,"Owl, horned, flesh, raw (Alaska Native)",0.0,22.7,5.0,136.0
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",0.0,23.2,5.9,150.0
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",0.0,39.9,30.0,430.0
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",4.3,16.6,8.0,156.0
167617,"Duck, scoter, white-winged, meat (Alaska Native)",0.0,20.2,0.4,84.0
167618,"Sea cucumber, yane (Alaska Native)",0.0,13.0,0.4,56.0
167619,"Squirrel, ground, meat (Alaska Native)",0.0,19.3,3.8,111.0
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",0.2,0.0,0.0,1.0
167621,"Walrus, meat, dried (Alaska Native)",0.0,57.0,2.6,251.0
167622,"Deer (venison), sitka, raw (Alaska Native)",0.0,21.5,2.66,116.0
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",0.0,0.4,96.5,870.0
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",0.0,12.6,46.1,465.0
167625,"Oil, whale, bowhead (Alaska Native)",0.0,0.0,100.0,900.0
167626,"Fish, whitefish, broad, liver (Alaska Native)",5.1,11.0,4.4,104.0
167627,"Mush, blue corn with ash (Navajo)",11.74,0.66,0.49,54.0
